Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
P.5.5.,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data). If the job remains in ""pending"", reload the page until the status changes.",
P.5.5.1.,publisher,,"Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem."
P.5.6.,publisher,"click on ""(show error details)"" for the record in the ""History of uploads""",
P.5.6.1.,publisher,,"Additional error details are shown, indicating that the ISSN ""5555-5555"" does not appear in DOAJ."
----------,----------,----------,----------

----------,----------,----------,----------
## P.6,----------,## Upload a file containing ISSNs erroneously shared with another account,----------
,,"Setup: Ensure that the ISSN ""1111-1111"" is attached a journal owned by the publisher and ISSN ""2222-2222"" is attached to the same journal and also to another journal not owned by the publisher",
,,Setup: You must be logged in using a pure publisher account (no other privileges),
P.6.1.,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""

http://testdoaj.cottagelabs.com//publisher/uploadfile",
P.6.2.,publisher,"Browse for a file under ""Select a file"" and select the test resource file ""shared_issn.xml"" from the Crossref 5.3.1 resources

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2959_multiple_affiliations/doajtest/xml_upload_test_package/Crossref/5.3.1/shared_issn.xml",
P.6.3.,publisher,"Choose ""Crossref 5.3.1 XML"" from ""Format of the file"" dropdown",
P.6.4.,publisher,"Click ""Upload""",
P.6.4.1.,publisher,,A flash message appears at the top of the screen indicating a successful upload
P.6.4.2.,publisher,,"Your file is shown in the ""History of uploads"" with status ""pending"""
P.6.5.,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data). If the job remains in ""pending"", reload the page until the status changes.",
P.6.5.1.,publisher,,"Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem."
P.6.6.,publisher,"click on ""(show error details)"" for the record in the ""History of uploads""",
P.6.6.1.,publisher,,"Additional error details are shown, indicating that the ISSN ""2222-2222"" is shared with another user"
----------,----------,----------,----------

----------,----------,----------,----------
## P.7,----------,## Successfully upload a file containing a new article,----------
,,"Setup: Ensure that the publisher account owns a journal with Print ISSN ""1111-1111"" and E-ISSN ""2222-2222"", and these are not attached to any other journals and that this journal does not contain ""Success"" or ""Update"" articles from previous tests (delete them via the admin interface if they do).",
,,Setup: You must be logged in using a pure publisher account (no other privileges),
P.7.1.,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""

http://testdoaj.cottagelabs.com//publisher/uploadfile",
P.7.2.,publisher,"Browse for a file under ""Select a file"" and select the test resource file ""successful.xml"" from the Crossref 5.3.1 resources

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2959_multiple_affiliations/doajtest/xml_upload_test_package/Crossref/5.3.1/successful.xml",
P.7.3.,publisher,"Choose ""Crossref 5.3.1 XML"" from ""Format of the file"" dropdown",
P.7.4.,publisher,"Click ""Upload""",
P.7.4.1.,publisher,,A flash message appears at the top of the screen indicating a successful upload
P.7.4.2.,publisher,,"Your file is shown in the ""History of uploads"" with status ""pending"""
P.7.5.,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data). If the job remains in ""pending"", reload the page until the status changes.",
P.7.5.1.,publisher,,"Your file is shown in the ""History of uploads"" with status ""successfully processed"", and the Note ""1 articles imported (1 new, 0 updated)"""
P.7.6.,publisher,"Go to the Table of Contents for the journal (e.g. by going to /toc/2222-2222), and go to the Articles tab

http://testdoaj.cottagelabs.com//toc/2222-2222",
P.7.6.1.,publisher,,"The list of articles should contain an article with the title ""Success!"""
----------,----------,----------,----------

----------,----------,----------,----------
## P.8,----------,## Successfully upload a file containing an updated article,----------
,,Setup: Run through the previous test to upload a new article,
,,Setup: You must be logged in using a pure publisher account (no other privileges),
P.8.1.,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""

http://testdoaj.cottagelabs.com//publisher/uploadfile",
P.8.2.,publisher,"Browse for a file under ""Select a file"" and select the test resource file ""update.xml"" from the Crossref 5.3.1 resources

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2959_multiple_affiliations/doajtest/xml_upload_test_package/Crossref/5.3.1/update.xml",
P.8.3.,publisher,"Choose ""Crossref 5.3.1 XML"" from ""Format of the file"" dropdown",
P.8.4.,publisher,"Click ""Upload""",
P.8.4.1.,publisher,,A flash message appears at the top of the screen indicating a successful upload
P.8.4.2.,publisher,,"Your file is shown in the ""History of uploads"" with status ""pending"""
P.8.5.,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data). If the job remains in ""pending"", reload the page until the status changes.",
P.8.5.1.,publisher,,"Your file is shown in the ""History of uploads"" with status ""successfully processed"", and the Note ""1 articles imported (0 new, 1 updated)"""
P.8.6.,publisher,"Go to the Table of Contents for the journal (e.g. by going to /toc/2222-2222), and go to the Articles tab

http://testdoaj.cottagelabs.com//toc/2222-2222",
P.8.6.1.,publisher,,"The list of articles should contain an article with the title ""Updated!"", and the previous version (""Success!"") should be gone"
----------,----------,----------,----------

----------,----------,----------,----------
## P.9,----------,## Successfully upload a file by reference containing a new or updated article,----------
,,Setup: You must be logged in using a pure publisher account (no other privileges),
P.9.1.,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""

http://testdoaj.cottagelabs.com//publisher/uploadfile",
P.9.2.,publisher,"In the box ""Provide a URL where we can download the XML"", enter the URL below

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2959_multiple_affiliations/doajtest/xml_upload_test_package/Crossref/5.3.1/successful.xml",
P.9.3.,publisher,"Choose ""Crossref 5.3.1 XML"" from ""Format of the file"" dropdown",
P.9.4.,publisher,"Click ""Upload""",
P.9.4.1.,publisher,,A flash message appears at the top of the screen indicating that the file reference was successfully received
P.9.4.2.,publisher,,"Your file is shown in the ""History of uploads"" with status ""pending"""
P.9.5.,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data). If the job remains in ""pending"", reload the page until the status changes.",
P.9.5.1.,publisher,,"Your file is shown in the ""History of uploads"" with status ""successfully processed"", and the Note ""1 articles imported (0 new, 1 updated)"" (if you have prevously imported the successful.xml file in previous tests."
P.9.6.,publisher,"Go to the Table of Contents for the journal (e.g. by going to /toc/2222-2222), and go to the Articles tab

http://testdoaj.cottagelabs.com//toc/2222-2222",
P.9.6.1.,publisher,,"The list of articles should contain an article with the title ""Success!"""
----------,----------,----------,----------

----------,----------,----------,----------
## P.10,----------,## Successfully upload a file containing article with html tag in title,----------
,,"Setup: Ensure that the publisher account owns a journal with Print ISSN ""1111-1111"" and E-ISSN ""2222-2222"", and these are not attached to any other journals and that this journal does not contain ""Success"" or ""Update"" articles from previous tests (delete them via the admin interface if they do).",
,,Setup: You must be logged in using a pure publisher account (no other privileges),
P.10.1.,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""

http://testdoaj.cottagelabs.com//publisher/uploadfile",
P.10.2.,publisher,"Browse for a file under ""Select a file"" and select the test resource file ""title_with_html_tags.xml"" from the Crossref 5.3.1 resources

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2959_multiple_affiliations/doajtest/xml_upload_test_package/Crossref/5.3.1/title_with_html_tags.xml",
P.10.3.,publisher,"Choose ""Crossref 5.3.1 XML"" from ""Format of the file"" dropdown",
P.10.4.,publisher,"Click ""Upload""",
P.10.4.1.,publisher,,A flash message appears at the top of the screen indicating that the file reference was successfully received
P.10.4.2.,publisher,,"Your file is shown in the ""History of uploads"" with status ""pending"""
P.10.5.,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data). If the job remains in ""pending"", reload the page until the status changes.",
P.10.5.1.,publisher,,"Your file is shown in the ""History of uploads"" with status ""successfully processed"", and the Note ""1 articles imported (1 new, 0 updated)"""
P.10.6.,publisher,"Go to the Table of Contents for the journal (e.g. by going to /toc/2222-2222), and go to the Articles tab

http://testdoaj.cottagelabs.com//toc/2222-2222",
P.10.6.1.,publisher,,"The list of articles should contain an article with the title ""Title with HTML tags <i>escaped</i> and &lt;i&gt;unescaped&lt;/i&gt;"""
----------,----------,----------,----------

----------,----------,----------,----------
## P.11,----------,## Upload a file containing 2 identical ISSNs,----------
,,Setup: You must be logged in using a pure publisher account (no other privileges),
P.11.1.,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""

http://testdoaj.cottagelabs.com//publisher/uploadfile",
P.11.2.,publisher,"Browse for a file under ""Select a file"" and select the test resource file ""identical_issns.xml"" from the Crossref 5.3.1 resources

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2959_multiple_affiliations/doajtest/xml_upload_test_package/Crossref/5.3.1/identical_issns.xml",
P.11.3.,publisher,"Choose ""Crossref 5.3.1 XML"" from ""Format of the file"" dropdown",
P.11.4.,publisher,"Click ""Upload""",
P.11.4.1.,publisher,,A flash message appears at the top of the screen indicating a successful upload
P.11.4.2.,publisher,,"Your file is shown in the ""History of uploads"" with status ""pending"""
P.11.5.,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data). If the job remains in ""pending"", reload the page until the status changes.",
P.11.5.1.,publisher,,"Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem."
----------,----------,----------,----------

----------,----------,----------,----------
## P.12,----------,## Upload a file without ISSN,----------
,,Setup: You must be logged in using a pure publisher account (no other privileges),
P.12.1.,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""

http://testdoaj.cottagelabs.com//publisher/uploadfile",
P.12.2.,publisher,"Browse for a file under ""Select a file"" and select the test resource file ""identical_issns.xml"" from the Crossref 5.3.1 resources

Test Resource: https://raw.githubusercontent.com/DOAJ/doaj/feature/2959_multiple_affiliations/doajtest/xml_upload_test_package/Crossref/5.3.1/no_issn.xml",
P.12.3.,publisher,"Choose ""Crossref 5.3.1 XML"" from ""Format of the file"" dropdown",
P.12.4.,publisher,"Click ""Upload""",
P.12.4.1.,publisher,,A flash message appears at the top of the screen indicating a successful upload
P.12.4.2.,publisher,,"Your file is shown in the ""History of uploads"" with status ""pending"""
P.12.5.,publisher,"wait a short amount of time for the job to process, then reload the page (do not re-submit the form data). If the job remains in ""pending"", reload the page until the status changes.",
P.12.5.1.,publisher,,"Your file is shown in the ""History of uploads"" with status ""processing failed"" and a suitable entry in the ""Notes"".  Check that the explanation link goes to a suitable reason and resolution for the problem."
----------,----------,----------,----------

----------,----------,----------,----------
## P.13,----------,## Successfully upload a file containing article with multiple author affiliations using Crossref 5.3.1 XML,----------
,,"Setup: Ensure that the publisher account owns a journal with Print ISSN ""1111-1111"" and E-ISSN ""2222-2222"", and these are not attached to any other journals.",
,,Setup: You must be logged in using a pure publisher account (no other privileges).,
P.13.1.,publisher,"Prepare a Crossref 5.3.1 XML file containing an article where contributors contain multiple <institution> entries with <institution_name> inside the <affiliations> tag. For example, author ""Minerva Housecat"" has institutions ""Cottage Labs University"" and ""United States Department of Energy"" with ORCID ""https://orcid.org/0000-0002-4011-3590"", and author ""Josiah Carberry"" has institutions ""Brown University"" and ""Harvard University"".",
P.13.2.,publisher,"Go to the ""Upload Article XML"" tab in the ""Publisher Area""

http://testdoaj.cottagelabs.com//publisher/uploadfile",
P.13.3.,publisher,"Browse for the prepared XML file under ""Select a file""",
P.13.4.,publisher,"Choose ""Crossref 5.3.1 XML"" from ""Format of the file"" dropdown",
P.13.5.,publisher,"Click ""Upload""",
P.13.5.1.,publisher,,{'A flash message appears at the top of the screen indicating a successful upload': 'File uploaded and waiting to be processed. Check back here for updates.'}
P.13.5.2.,publisher,,"Your file is shown in the ""History of uploads"" with status ""pending"""
P.13.6.,publisher,"Wait a short amount of time for the job to process, then reload the page",
P.13.6.1.,publisher,,"Your file is shown in the ""History of uploads"" with status ""successfully processed"", and the Note ""1 articles imported (1 new, 0 updated)"""
P.13.7.,publisher,Go to the Table of Contents for the journal (/toc/2222-2222) and open the article landing page,
P.13.7.1.,publisher,,"Both authors ""Minerva Housecat"" and ""Josiah Carberry"" are displayed on the article page"
P.13.8.,publisher,"Click the ""Affiliations"" accordion button under the authors list",
P.13.8.1.,publisher,,The affiliations section expands
P.13.8.2.,publisher,,"Under ""Minerva Housecat"", both ""Cottage Labs University"" and ""United States Department of Energy"" are displayed on separate lines"
P.13.8.3.,publisher,,"Under ""Josiah Carberry"", both ""Brown University"" and ""Harvard University"" are displayed on separate lines"
----------,----------,----------,----------

